rank,title,hot,topic,sentiment,confidence,need_review,risk
1,人形机器人,1123890,人形/机器人,正面,0.9241119623184204,False,低
2,法国队疑似出现内讧,786907,法国队/疑似,负面,0.9986788630485535,False,高
3,全国两优一先表彰名单公布,711332,两优/一先,正面,0.9960587024688721,False,低
4,零度玫瑰 恋与深空,709859,深空/零度,负面,0.9655141234397888,False,高
5,小猫居然分得清睡衣和出门衣服,708007,分得清/小猫,正面,0.7144861817359924,False,低
6,哈兰德绝杀惊动挪威测震仪,707580,绝杀/哈兰德,正面,0.9959231615066528,False,低
7,田曦薇低智商犯罪庆功宴合照,707026,田曦/合照,负面,0.9999668598175049,False,高
8,小米高层重大调整,706363,小米/高层,正面,0.9470714926719666,False,低
9,今年我国首个台风来了,705440,台风/首个,正面,0.9772307276725769,False,低
10,A股交易新规7月6日起施行,703850,A股/新规,负面,0.5431925058364868,True,高
11,丁禹兮 姜珮瑶,703104,丁禹/姜珮瑶,正面,0.9365779161453247,False,低
12,小公司硕士不招,702255,不招/硕士,负面,0.999723494052887,False,高
13,真实的乡镇公务员是这样的,687960,乡镇/公务员,负面,0.9998767375946045,False,高
14,丁程鑫手怎么了,560371,丁程鑫手/怎么,负面,0.9999243021011353,False,中
15,低智商犯罪 哥嫂,558716,哥嫂/智商,负面,0.9999697208404541,False,中
16,吴柳芳还清40万外债后首开带货直播,557671,吴柳芳/40,正面,0.9729915857315063,False,低
17,卢昱晓 上镜淡颜线下浓颜,557565,上镜/卢昱晓,负面,0.9998775720596313,False,中
18,AI漫剧 好看,542894,AI/漫剧,正面,0.999941349029541,False,低
19,哈兰德每天摄入6000卡热量,538866,哈兰德/6000,负面,0.9998511075973511,False,中
20,迪丽热巴VOGUE拍好了,536287,迪丽/热巴,正面,0.9995582699775696,False,低
21,金价,503686,金价,负面,0.9366593956947327,False,中
22,文旅局回应泰山135公里刀片隔离网,462642,文旅局/135,正面,0.9579713344573975,False,低
23,韩雨彤否认与曾辉领证,459549,领证/韩雨彤,负面,0.9996323585510254,False,中
24,王俊凯发了31个问号,419169,王俊凯发/31,负面,0.9999593496322632,False,中
25,芒果tv给杨紫开了作品专栏,310595,tv/杨紫开,正面,0.9999076128005981,False,低
26,跟没上过班的人沟通真的好累,299138,过班/没上,负面,0.9996139407157898,False,低
27,虞书欣都瘦出脚脖子了,293853,虞书欣/脚脖子,负面,0.9998893737792969,False,低
28,孔雪儿刘雨昕自拍,270522,自拍/刘雨昕,正面,0.9994031190872192,False,低
29,大姐吃14天控糖餐腰围瘦13厘米,270017,14/天控,正面,0.994281530380249,False,低
30,内娱年度最差编剧,269784,内娱/最差,负面,0.9999692440032959,False,低
31,恋与深空问题从来不在敖尹角色本身,269777,深空/敖尹,正面,0.807560384273529,False,低
32,叠纸游戏陷入信任危机,269747,叠纸/信任危机,负面,0.9998984336853027,False,低
33,AI漫剧 降维打击,256215,AI/漫剧,负面,0.9866188168525696,False,低
34,严浩翔知道信任在消磨,244722,严浩翔/消磨,负面,0.9658999443054199,False,低
35,绿源电动车 擦边,243835,擦边/绿源,负面,0.9998987913131714,False,低
36,福建天雷劈庙,236122,雷劈/福建,负面,0.9894667267799377,False,低
37,金冬天体态,222096,体态/冬天,正面,0.9836222529411316,False,低
38,公积金 结息,220931,结息/公积金,正面,0.9599056839942932,False,低
39,儿子嫌饭难吃扬言杀全家被父砍伤,216502,嫌饭/被父,负面,0.9998655319213867,False,低
40,刘宇宁6月行程也太满了,213903,刘宇宁/太满,负面,0.937611997127533,False,低
41,四个女明星撞衫同一款礼服,213298,撞衫同/女明星,负面,0.9998791217803955,False,低
42,檀健次年上演出了年下的感觉,197871,檀健/演出,负面,0.9998797178268433,False,低
43,樊振东正式加盟杜塞尔多夫,194635,樊振东/杜塞尔多夫,正面,0.9996228218078613,False,低
44,女子高铁站内抢砸工作人员对讲机,171958,对讲机/高铁,负面,0.99989914894104,False,低
45,宁艺卓回老家哈尔滨了,141579,宁艺卓/回老家,正面,0.9991187453269958,False,低
46,樊振东新战队8月22日首场比赛,137964,战队/樊振东,正面,0.8995674848556519,False,低
47,iPhone18Pro还有银灰浅蓝配色,137209,银灰/iPhone18Pro,正面,0.8589215278625488,False,低
48,黄金超级牛市迎最严峻压力测试,136429,超级/牛市,正面,0.9987514019012451,False,低
49,曝小米18将先发Pro后发标准版,134396,标准版/18,正面,0.9997883439064026,False,低
50,低智商犯罪庆功宴,132458,庆功宴/智商,负面,0.99996018409729,False,低
