rank,title,hot,topic,sentiment,confidence,need_review,risk
1,恋与深空回应争议,4664154,深空/回应,正面,0.998778760433197,False,低
2,马航MH370传来最新消息,2321683,马航/MH370,负面,0.9982125759124756,False,高
3,这些7月新规影响你我,1274244,新规/影响,正面,0.999736487865448,False,低
4,爱直接对嘴喝饮料的人天塌了,1254472,天塌/饮料,负面,0.999941349029541,False,高
5,一直以为方便面汤是要倒掉的,1162643,方便面/倒掉,正面,0.5887161493301392,True,低
6,主人解开狗绳2只狗将路人撕咬致死,1007258,狗绳/撕咬,负面,0.9999613761901855,False,高
7,当我知道豆包有后台审核人员,646745,豆包/后台,正面,0.9749335646629333,False,低
8,我们的少年时代2,601781,少年时代/我们,正面,0.9634510278701782,False,低
9,腾讯与长鑫存储签200亿大单,599171,长鑫/200,正面,0.9997565150260925,False,低
10,齐思钧回复孙怡,598316,齐思钧/孙怡,正面,0.9998779296875,False,低
11,恋与深空致歉,594170,深空/致歉,负面,0.9996727705001831,False,中
12,TOP Prada,590396,TOP/Prada,正面,0.8298468589782715,False,低
13,赵今麦瘦好多,588656,赵今/麦瘦,负面,0.9998161196708679,False,中
14,恋与深空需正视价值观偏差,584504,深空/正视,负面,0.9997631907463074,False,中
15,董卿母亲癌症去世,582676,董卿/癌症,正面,0.9378121495246887,False,低
16,papi酱父亲再婚妻子仅比她大几岁,579518,papi/再婚,正面,0.999693751335144,False,低
17,法国部长说装空调没用,576058,说装/没用,负面,0.9929198622703552,False,中
18,刘宇宁胸肌腹肌全给看了,575715,刘宇宁/全给,正面,0.9997885823249817,False,低
19,曝iPhone涨价后不会再降,571124,iPhone/涨价,正面,0.6263310313224792,False,低
20,18岁高二体育生训练晕倒后离世,567924,18/离世,负面,0.9999018907546997,False,中
21,曝娱乐圈大部分明星失业,566849,娱乐圈/失业,负面,0.9998654127120972,False,中
22,曾沛慈和老公一起回台湾,563521,曾沛/慈和,正面,0.9999785423278809,False,低
23,FIFA被呼吁调查阿尔及利亚奥地利比赛,560271,FIFA/阿尔及利亚,负面,0.9999252557754517,False,中
24,三甲医生提醒青蛙腹是最糟糕体型,557428,腹是/三甲,负面,0.9997525811195374,False,中
25,东方风云榜,553902,风云榜/东方,负面,0.7451415061950684,False,中
26,杨紫有3部作品入围金鹰奖,552230,杨紫有/金鹰奖,正面,0.9996325969696045,False,低
27,法国小学众筹装空调后市长下令拆除,549066,众筹装/拆除,负面,0.9999033212661743,False,中
28,王安宇聪明到导演组炸了,546305,导演组/王安宇,正面,0.99988853931427,False,低
29,中国再对日本出重拳,543350,重拳/日本,正面,0.8961620330810547,False,低
30,一人一句祝党生日快乐,540384,生日快乐/祝党,正面,0.8422622680664062,False,低
31,MG总经理直播被冲,535576,MG/直播,负面,0.9995457530021667,False,中
32,女子螺蛳粉摊吃出蛇,532627,粉摊/出蛇,负面,0.999929666519165,False,中
33,中国妇女评网游娱乐化女性安全,531362,网游/娱乐,负面,0.99949049949646,False,中
34,中国网友锐评韩国队外网爆火,527921,锐评/外网,负面,0.5786603689193726,True,中
35,全网说丑的玫瑰空调卖了5万台,523934,全网/万台,负面,0.9996131062507629,False,中
36,片寄凉太胖了好多,523103,片寄凉/太胖,负面,0.9999264478683472,False,中
37,田曦薇 女装牛仔裤,520124,田曦/女装,正面,0.8945046067237854,False,低
38,恋与深空道歉就够了吗,516973,深空/就够,负面,0.9999563694000244,False,中
39,谢霆锋王菲十指紧扣一起走,513041,谢霆锋/王菲,正面,0.9999415874481201,False,低
40,黄灿灿张慧雯落地签还没发的原因,511039,张慧雯/没发,负面,0.9960054755210876,False,中
41,莆田仙游一峡谷发生事故5人身亡,508895,仙游/莆田,正面,0.714277982711792,False,低
42,85花告别古偶,506477,85/古偶,负面,0.9939119815826416,False,中
43,江语晨 好恨江语晨前夫,503633,江语晨/好恨,负面,0.9964025020599365,False,中
44,存储三巨头被告了,500694,被告/存储,负面,0.9898792505264282,False,中
45,东方风云榜直播,495141,风云榜/直播,正面,0.9855111837387085,False,低
46,虞书欣和粉丝剧宣一个脑回路,494297,虞书欣/剧宣,负面,0.9999631643295288,False,中
47,孙俪开QQ的蛮好生活,491542,孙俪开/QQ,正面,0.999699592590332,False,低
48,被裁员后30岁儿子被抓去戒网瘾,487736,戒网瘾/30,负面,0.9999109506607056,False,中
49,穆祉丞东方风云榜红毯,486058,穆祉/风云榜,正面,0.9998563528060913,False,低
50,天气热脾气都变差了,481938,变差/脾气,负面,0.9999674558639526,False,中
