rank,title,hot,topic,broad_category,sentiment,risk
1,佛得角逼平两个世界冠军,10897724,逼平/佛得角,其他,负面,高
2,西班牙 杀疯了,1992752,西班牙,其他,负面,高
3,龙舟经济火爆,1510868,龙舟/火爆,其他,正面,低
4,乌拉圭门将超巨失误,751185,超巨/门将,其他,负面,高
5,渐冻症女子安装监控拍下男护工猥亵,561981,渐冻症/护工,其他,负面,中
6,乌拉圭2比2佛得角,540413,佛得角/乌拉圭,其他,负面,中
7,张靓颖清唱太多被罚款,438378,张靓颖/清唱,其他,负面,中
8,电脑也一天一个价了,326588,价了/电脑,科技数码,负面,中
9,许凯吴彦姝承欢记售后,326433,许凯/吴彦,其他,正面,低
10,新西兰破门,325030,破门/新西兰,其他,正面,低
11,王濛万千惠聊天记录,322760,聊天记录/万千,其他,负面,中
12,排队给西班牙道歉,320480,道歉/排队,其他,负面,中
13,李现开球,319387,李现/开球,其他,正面,低
14,向太和向佑和解归功于向佐,317984,归功于/太和,其他,正面,低
15,梅西看到马宁怒斥德保罗后笑了,317165,马宁/梅西,体育竞技,正面,低
16,搞砸了赖伟明的暗恋,315737,搞砸/赖伟明,其他,负面,中
17,Babycare好奇恳请公布检测结果,313510,Babycare/恳请,其他,负面,中
18,伊朗当面查美国作业,312695,当面/伊朗,其他,负面,中
19,陈小春边哭边改,309959,陈小春,其他,负面,中
20,国产呼吸机比进口便宜8成仍卖不动,309639,呼吸机/国产,其他,负面,中
21,人失去魅力的十种行为,307413,十种/魅力,其他,负面,中
22,伊朗暂升小组第一,306632,小组第一/暂升,其他,负面,中
23,向太拉黑向佑后首次联系,304481,太拉黑/向佑后,其他,负面,中
24,乌拉圭vs佛得角,302796,vs/佛得角,其他,负面,中
25,niko,301881,niko,其他,负面,中
26,田曦薇和碗撞衫,299042,田曦,其他,负面,低
27,67岁生女父亲否认拖累其他子女,298198,67/生女,其他,负面,低
28,肖战十日终焉华语新剧海推馆,296470,肖战/终焉,其他,正面,低
29,深交所将迎来史上最大规模IPO,295697,IPO/史上,其他,正面,低
30,国乒一线主力将全员回归,293558,国乒/全员,其他,负面,低
31,学渣学霸写作业状态区别,291696,作业状态/学渣,其他,负面,低
32,王濛但大家都不是你,290291,大家/不是,其他,正面,低
33,纸尿裤事件真相不能被口水淹没,288710,纸尿裤/事件真相,其他,负面,低
34,家里4个地方是霉菌重灾区,288299,重灾区/霉菌,其他,负面,低
35,老爷爷卖饺子叉的视频火了,286218,老爷爷/饺子,其他,负面,低
36,FIFA内部处分阿根廷战VAR裁判,283861,FIFA/VAR,其他,负面,低
37,佛得角出线有望,283669,佛得角/出线,其他,负面,低
38,世界杯欠伊朗一个进球,281474,进球/世界杯,体育竞技,负面,低
39,佛得角门神母亲欢呼进球,280469,佛得角/进球,其他,正面,低
40,央视曝新型茶叶骗局,278434,骗局/央视,其他,负面,低
41,孔塞桑说没义务给C罗喂球,277053,孔塞桑/义务,其他,负面,低
42,曝白玉兰场刊组委会写的,274703,场刊/白玉兰,其他,负面,低
43,路人对着关晓彤喊鹿晗,273318,关晓彤/鹿晗,其他,负面,低
44,外地人对羊皮筏子的信任程度,272691,筏子/外地人,其他,负面,低
45,南部档案2,270418,档案/南部,其他,负面,低
46,美伊会谈因特朗普威胁言论暂停,269308,特朗普/美伊,其他,正面,低
47,观众为徐梦洁浪姐舞台发声,267931,徐梦洁/浪姐,娱乐八卦,正面,低
48,南枝的爸爸原来是我们的老熟人,266275,南枝/熟人,其他,正面,低
49,孙杨全国游泳冠军赛收获2枚金牌,264634,孙杨/冠军赛,体育竞技,正面,低
50,庄法发长文感谢曾沛慈团所有成员,263198,长文/庄法发,其他,正面,低
