rank,title,hot,topic,sentiment,confidence,need_review,risk
1,韩国第8,1081327,韩国,负面,0.9925968647003174,False,高
2,世界杯32强已确定28席,1046445,32/28,负面,0.881707489490509,False,高
3,中国先进制造链夯爆了,996580,链夯/先进,正面,0.9994695782661438,False,低
4,KSG对战DYG,966964,KSG/DYG,正面,0.6178432703018188,False,低
5,佛得角出线,909767,佛得角/出线,负面,0.6887298822402954,False,高
6,浪姐总决赛,876490,浪姐/总决赛,负面,0.993043839931488,False,高
7,班主任说要解散班级群,835644,班级/班主任,负面,0.9999581575393677,False,高
8,DeepSeek发布DSpark,609162,DeepSeek/DSpark,正面,0.9998216032981873,False,低
9,白玉兰评委谈藏海传,541031,谈藏/海传,负面,0.9547008872032166,False,中
10,世界冠军与亚洲冠军双双出局,529702,世界冠军/出局,负面,0.9998729228973389,False,中
11,杨紫粉底液,521806,粉底液/杨紫,正面,0.9999439716339111,False,低
12,王安宇毕业证书丢了,506755,王安宇/毕业证书,负面,0.9999419450759888,False,中
13,贺志亮被查,493165,贺志亮,负面,0.9999275207519531,False,中
14,金曲奖,482185,金曲奖,正面,0.9392338991165161,False,低
15,厦门一女子检出全球从未记录新基因,471148,检出/厦门,负面,0.9469471573829651,False,中
16,不穿的衣服可以拿来挂耳环,468917,耳环/拿来,负面,0.8639205694198608,False,中
17,二手炸鸡,468627,炸鸡/二手,负面,0.99994957447052,False,中
18,迪丽热巴 水蜜桃成精了,467322,迪丽/热巴,负面,0.9999637603759766,False,中
19,周杰伦鸟巢演唱会,466439,周杰伦/演唱会,正面,0.9996106028556824,False,低
20,山东曲阜尼山镇一牌坊倒塌,465919,山镇/曲阜,负面,0.9841147661209106,False,中
21,人大博士肄业宅家六年靠父母供养,465182,宅家/肄业,负面,0.999862790107727,False,中
22,佛得角足协副主席感谢中国,464375,佛得角/足协,正面,0.9997454285621643,False,低
23,杨紫爸爸请粉丝吃冰淇淋,463432,杨紫/冰淇淋,正面,0.9999794960021973,False,低
24,浪姐总决赛谢娜去哪了,463033,谢娜/浪姐,负面,0.999840259552002,False,中
25,去家务化意识,444014,家务/意识,负面,0.9984689354896545,False,中
26,穆祉丞演唱会,425322,穆祉/演唱会,正面,0.6755799651145935,False,低
27,浪姐总决赛妆造,396149,浪姐/妆造,负面,0.6601935625076294,False,中
28,日方对辽宁舰编队滋扰发生重大变化,394952,滋扰/日方,负面,0.9173815846443176,False,中
29,前男友曝黄一鸣是永久封号,394924,前男友/曝黄,负面,0.9999666213989258,False,中
30,陈昊宇 人鱼吟唱,320031,陈昊宇/吟唱,正面,0.9999366998672485,False,低
31,警方称13岁女孩与2男自愿发生关系,309263,13/自愿,负面,0.9999537467956543,False,中
32,机枪坠落砸死日本精锐部队成员,308391,精锐部队/砸死,负面,0.9992952346801758,False,中
33,24年前西班牙是怎么被韩国淘汰的,308046,24/淘汰,负面,0.996819257736206,False,中
34,张月露腰,308028,张月露,负面,0.9908751249313354,False,中
35,奔跑吧莫离于正孟子义给白鹿送花篮,273139,莫离于/义给,正面,0.9992496371269226,False,低
36,不叠被子主义,272862,不叠/被子,负面,0.9999479055404663,False,低
37,宋亚轩刘耀文叫严浩翔翔哥,272857,宋亚轩/刘耀文,正面,0.9996941089630127,False,低
38,曝浪姐某位姐姐有了新恋情,253906,曝浪姐/某位,负面,0.9947227239608765,False,低
39,情绪价值是一段关系的核心,251603,一段/情绪,负面,0.5648595690727234,True,低
40,迪丽热巴金鹰视后价值,251093,迪丽热/鹰视,正面,0.5317271947860718,True,低
41,吴宣仪语音读本名吴祎琏,247156,吴宣仪/吴祎琏,正面,0.9989659786224365,False,低
42,佛得角对阵阿根廷晋级概率只有1%,228838,1%/佛得角,负面,0.9996960163116455,False,低
43,王鸥我没活干了,225409,王鸥/没活,负面,0.9999252557754517,False,低
44,邢菲经纪人没认出来邢菲,222165,邢菲/认出来,负面,0.9996445178985596,False,低
45,曝苹果芯片成本涨45售价狂加250美元,220628,45/狂加,负面,0.9954530000686646,False,低
46,王安宇声明毕业证和学位证作废,220501,学位证/王安宇,负面,0.9999703168869019,False,低
47,日本悍然模拟攻击辽宁舰,210531,悍然/模拟,负面,0.9981856942176819,False,低
48,美两家巨头最新大模型按军民两用管制,208625,两用/管制,正面,0.9906602501869202,False,低
49,陈昊宇浪姐总决赛助演克莱因蓝独白,207842,陈昊宇/浪姐,正面,0.987953782081604,False,低
50,比亚迪法务再次通报多账号被处理,197764,法务/账号,负面,0.999887228012085,False,低
