rank,title,hot,topic,broad_category,sentiment,risk
1,哈兰德梅开二度,6268754,哈兰德/梅开二度,其他,正面,低
2,压力又给到C罗了,1497729,压力,其他,负面,高
3,端午假期国内出游1.24亿人次,1415422,1.24/端午,其他,正面,低
4,郑嘉颖破防了,1386981,郑嘉颖/破防,其他,正面,低
5,30岁女警为救跳楼轻生者牺牲,782645,女警/30,其他,负面,高
6,姆巴佩左脚世界波,774207,姆巴/左脚,其他,正面,低
7,李金铭农村综艺那家人已败诉,767539,李金铭/综艺,娱乐八卦,负面,高
8,姆巴佩升至世界杯射手榜第二,741837,射手榜/姆巴,其他,正面,低
9,华为宣布对智驾兜底,726574,对智驾/兜底,其他,正面,低
10,iPhone18标准版外观曝光,677926,标准版/iPhone18,其他,正面,低
11,会接话是一种高级能力,575125,接话/高级,其他,正面,低
12,波士顿大学回复钟美美,469645,波士顿大学/美美,其他,正面,低
13,姆巴佩梅开二度,434150,梅开二度/姆巴,其他,正面,低
14,李金铭农村综艺那家人居然还在发她,383385,李金铭/综艺,娱乐八卦,负面,中
15,印男子坐轮胎爆炸被炸飞5米高死亡,373867,被炸飞/轮胎,其他,负面,中
16,阿根廷2比0奥地利,337843,阿根廷/奥地利,其他,正面,低
17,提车半小时被提车1天的同款撞了,332655,提车/同款,其他,负面,中
18,法国vs伊拉克 好大的雨,325528,vs/好大,其他,负面,中
19,斯塔默辞职原因,317443,斯塔/辞职,其他,负面,中
20,何宣林浪姐红利,312404,何宣林/浪姐,娱乐八卦,正面,低
21,49岁女子电梯坠亡涉事方已和解,287971,涉事/49,其他,负面,低
22,李登科聊迪丽热巴杨紫没有电影资源,287035,聊迪丽/热巴,其他,负面,低
23,周洁琼IOI后台合照,276250,周洁琼/IOI,其他,正面,低
24,美联储今年不降息黄金恐崩,276204,恐崩/降息,其他,负面,低
25,夏奇拉好美,275800,好美/夏奇拉,其他,正面,低
26,警方通报13岁女孩称遭男子强奸,275439,13/称遭,其他,负面,低
27,孙怡到底买了多少顶老孙帽,275099,孙怡/孙帽,其他,负面,低
28,恋与深空,274723,深空,其他,负面,低
29,韩红为冯小刚新电影站台引争议,274435,韩红为/站台,其他,负面,低
30,导演回应周冬雨遭差评,274175,遭差评/冬雨,其他,负面,低
31,挪威3比2塞内加尔,273780,塞内加尔/挪威,其他,负面,低
32,梁靖崑退赛美国大满贯,273503,梁靖/退赛,其他,负面,低
33,恋与深空一直在说对不起,273223,深空/对不起,其他,负面,低
34,挪威vs塞内加尔,268769,vs/塞内加尔,其他,负面,低
35,劳塔罗造点,265018,劳塔罗/造点,其他,正面,低
36,恋与深空 退游,263540,深空/退游,其他,负面,低
37,敖尹 丑,238882,敖尹,其他,正面,低
38,合资燃油车降价也卖不动,224421,降价/燃油,其他,负面,低
39,哈兰德空门不进,216788,哈兰德/空门,其他,负面,低
40,登贝莱世界杯首球,195917,登贝莱/首球,其他,正面,低
41,法国3比0伊拉克,188671,伊拉克/法国,其他,正面,低
42,丞磊吻沈羽洁时耳朵慢慢变红,179864,丞磊/沈羽洁,其他,正面,低
43,苏醒 预言家,156698,预言家/苏醒,其他,正面,低
44,法国vs伊拉克,156567,vs/伊拉克,其他,负面,低
45,周冬雨说导演老说词不用背,154993,冬雨/说词,其他,负面,低
46,SpaceX大跌,144915,SpaceX/大跌,科技数码,负面,低
47,学霸真的是一种很神奇的生物,143340,学霸/神奇,其他,正面,低
48,马斯克年薪162万起挖角台积电工程师,138872,马斯克/162,其他,正面,低
49,李羲承solo成绩超过张元英,136921,李羲/solo,其他,正面,低
50,突然发现把项链放头上很舒服,136901,项链/舒服,其他,正面,低
