rank,title,hot,topic,sentiment,confidence,need_review,risk
1,河北高考分数线,1515258,分数线/高考,负面,0.8899750709533691,False,高
2,江苏高考分数线,1186537,分数线/高考,负面,0.7557905316352844,False,高
3,2026年高考分数线汇总,1009553,2026/分数线,正面,0.8241249322891235,False,低
4,8月份双休的人有福了,984383,双休/月份,正面,0.9994939565658569,False,低
5,张家玮夹在王楚然张凌赫中间,916999,王楚然/张凌赫,正面,0.9995226860046387,False,低
6,高考分数线,907545,分数线/高考,负面,0.9152233600616455,False,高
7,孟子义时隔六年回归现偶,508064,现偶/时隔,正面,0.9867320656776428,False,低
8,千里江山图,459803,千里/江山,负面,0.8029773235321045,False,中
9,特斯拉 豆包,459722,豆包/特斯拉,正面,0.9997075200080872,False,低
10,重庆分数线发布,455890,分数线/重庆,负面,0.7547250986099243,False,中
11,李金铭农村婆婆发声,454218,李金铭/发声,负面,0.9709516763687134,False,中
12,官俊臣高考成绩,451610,官俊臣/高考,负面,0.9484511017799377,False,中
13,心疼文科生,450223,文科生/心疼,负面,0.999854326248169,False,中
14,红舞鞋,449022,舞鞋,负面,0.9373883008956909,False,中
15,杨紫皮肤 以为开了磨皮,446360,杨紫/磨皮,负面,0.9993880987167358,False,中
16,丈夫以为妻子是蛇打斗至27楼,443750,27/打斗,负面,0.9999642372131348,False,中
17,恋与深空 敖尹,441482,深空/敖尹,正面,0.9976602792739868,False,低
18,领导八万六的沙发是我的奖金,440559,八万/奖金,正面,0.9985561966896057,False,低
19,美联储加息3次金价或跌至3800,438268,3800/美联储,负面,0.8106027245521545,False,中
20,工人将炮钉枪口对准自身致中钉死亡,436068,致中/枪口,负面,0.9912653565406799,False,中
21,Lisa确认分手,432470,Lisa/分手,负面,0.9997949004173279,False,中
22,英格兰一夜回到四年前,431151,英格兰/一夜,负面,0.9999128580093384,False,中
23,王嘉尔亲吻粉丝,428174,王嘉尔/粉丝,正面,0.9991589784622192,False,低
24,辽宁分数线,427916,分数线/辽宁,负面,0.9815727472305298,False,中
25,哈兰德 恋与深空,425588,哈兰德/深空,负面,0.7922852039337158,False,中
26,赢风 黄景瑜,421865,黄景/赢风,正面,0.9993649125099182,False,低
27,豆包专业版专治复杂工作任务,420408,专业版/豆包,正面,0.9999797344207764,False,低
28,王楚钦也在看半熟恋人,419467,王楚/半熟,正面,0.973025918006897,False,低
29,白鹿与奥运冠军郭崎琪聊艺术体操,417375,郭崎琪/艺术体操,正面,0.9999338388442993,False,低
30,半导体新股暴涨900%,414154,900%/半导体,正面,0.8907089829444885,False,低
31,张凌赫强吻王楚然镜头,412206,张凌赫强/王楚然,正面,0.5540844202041626,True,低
32,千万不要买路边切好的半个西瓜,411010,切好/西瓜,负面,0.9826332330703735,False,中
33,1点点致歉,407434,致歉/点点,负面,0.9985363483428955,False,中
34,大奉打更人第二季,406016,大奉/第二季,负面,0.9942041039466858,False,中
35,杨紫公主裙下面是洞洞鞋,404535,杨紫/洞洞,负面,0.9998238682746887,False,中
36,Dior大秀,402071,Dior/大秀,正面,0.9952595829963684,False,低
37,第二十八年春,398652,十八年/第二,正面,0.9663138389587402,False,低
38,张新成被删戏份,397972,被删/张新成,负面,0.9999212026596069,False,中
39,多人被日军注入动物血后尿血,394456,血后/尿血,负面,0.9998472929000854,False,中
40,瑶一瑶穿8厘米高跟鞋,392124,瑶一瑶/高跟鞋,负面,0.9945923686027527,False,中
41,向太曝没给郭碧婷彩礼,390003,郭碧婷/彩礼,负面,0.9990468621253967,False,中
42,千万不要买结构复杂的水杯,388546,水杯/结构复杂,负面,0.9972161054611206,False,中
43,喜单3全阵容大笑官宣,387022,喜单/官宣,正面,0.9996523857116699,False,低
44,剑来,384882,剑来,正面,0.9879653453826904,False,低
45,两名日本人违反中国法律被拘留,382894,拘留/违反,负面,0.9997820258140564,False,中
46,孙子被儿子女友踢死爷爷不想认儿子,380059,儿子/踢死,负面,0.9999178647994995,False,中
47,聊斋预告,377944,聊斋/预告,正面,0.9998124241828918,False,低
48,为啥高德地图的广告没了,375782,高德/为啥,正面,0.999963641166687,False,低
49,李在明怒斥女消防员被强迫陪酒致死,373980,李在明/消防员,负面,0.9992237091064453,False,中
50,何小鹏晒前法拉利设计师,371426,何小鹏/法拉利,正面,0.9936875700950623,False,低
