rank,title,hot,topic,sentiment,risk
1,白玉兰口碑,1456851,其他,中性,中
2,国乒男单资格赛全军覆没,1202808,其他,中性,中
3,国产高性能碳纤维再迎产能重大突破,964805,其他,正面,低
4,原来衣着打扮会影响对自己的感知,821655,其他,中性,中
5,3000块街舞课狗狗学了2900,744040,其他,中性,低
6,恋与深空6.0版本万籁俱起,677384,其他,中性,低
7,豆包和DeepSeek的博弈,647422,其他,中性,低
8,女子被骗500万丈夫自杀骗子获刑,637765,其他,中性,低
9,穆祉丞 你们就是我的恋人,515294,其他,中性,低
10,阚清子意难平,496149,其他,中性,低
11,敖尹卡面,482657,其他,中性,低
12,卢昱晓误触,472501,其他,中性,低
13,刘烨16岁儿子诺一颜值,457780,其他,中性,低
14,立陶宛为挑衅中国付出代价,425585,其他,中性,低
15,曾沛慈直播,425247,娱乐八卦,中性,低
16,Alin大闹金曲奖,420557,其他,中性,低
17,伊朗队队长怒斥国际足联,389077,其他,负面,中
18,只有领导层才能吹空调欧委会被批封建,389063,其他,中性,低
19,17岁女生讲述被多次殴打性侵细节,389034,其他,中性,低
20,广州一高校禁止小米汽车入园,388989,科技数码,中性,低
21,恋与深空道歉国外玩家评论,388968,其他,负面,中
22,向佐向佑聊天记录,388956,其他,中性,低
23,李现 杨紫,388914,其他,中性,低
24,金饰克价年内大跌460元,388872,其他,中性,低
25,恋与深空,388866,其他,中性,低
26,穿和搭一分开就这样,372249,其他,中性,低
27,恋与深空文案又被指娱乐化刑事案件,358489,其他,中性,低
28,杨洋参加军艺同学聚会,344812,其他,中性,低
29,白鹿等大家看了莫离第40集再编辑文案,306122,其他,中性,低
30,男子吃半根变苦黄瓜致肝衰竭,275596,其他,中性,低
31,妈妈用玄学治好了暴躁的我,274416,其他,中性,低
32,真正厉害的都是长期主义,271211,其他,中性,低
33,恋与深空兑换码,267952,其他,中性,低
34,曾沛慈晒照告别浪姐,234010,其他,中性,低
35,原来大家都是这么恢复能量的,229296,其他,中性,低
36,灿如繁星定档节奏,224604,其他,中性,低
37,多辆百吨王在京新高速强行冲卡,213437,其他,中性,低
38,大雷发杨紫白玉兰碎片,202583,其他,中性,低
39,爱情有烟火,199774,其他,中性,低
40,李在明就韩国队出局致歉,196367,其他,中性,低
41,苹果芯片成本涨45售价狂加250美元,185503,科技数码,中性,低
42,委地震后3天仍有幸存者被抬出,180913,社会民生,中性,低
43,女子被骗500万丈夫自杀身亡,179467,其他,中性,低
44,抖音通报网红诋毁袁隆平,179127,娱乐八卦,中性,低
45,遭追尾双车夹击身亡女子家属发声,174057,其他,中性,低
46,韩国主教练已被全民拉黑,168531,其他,中性,低
47,韩国队差旅费亏麻了,167028,其他,中性,低
48,苹果请求采购中国存储芯片,165702,科技数码,中性,低
49,黎家盈在太空健身画面,165261,其他,中性,低
50,小马被游客无人机惊扰狂奔炸肺死亡,164952,其他,负面,低
