rank,title,hot,topic,sentiment,risk
1,韩国第8,1087939,其他,中性,中
2,欠债20亿老赖和家人在国外住豪宅,801605,其他,中性,中
3,中国先进制造链夯爆了,793596,其他,中性,低
4,KSG对战DYG,782259,其他,中性,低
5,人大博士肄业宅家六年靠父母供养,765781,其他,中性,低
6,浪姐总决赛,753354,其他,中性,低
7,班主任说要解散班级群,750132,其他,中性,低
8,白玉兰评委谈藏海传,600526,其他,中性,低
9,不穿的衣服可以拿来挂耳环,548866,其他,中性,低
10,去家务化意识,491257,其他,中性,低
11,杨紫粉底液,490160,其他,中性,低
12,王安宇毕业证书丢了,488200,其他,中性,低
13,浪姐总决赛妆造,483857,其他,中性,低
14,警方称13岁女孩与2男自愿发生关系,483386,其他,中性,低
15,厦门一女子检出全球从未记录新基因,482486,其他,中性,低
16,DeepSeek发布DSpark,481384,其他,中性,低
17,机枪坠落砸死日本精锐部队成员,480592,其他,中性,低
18,周杰伦鸟巢演唱会,479673,娱乐八卦,中性,低
19,24年前西班牙是怎么被韩国淘汰的,478490,体育竞技,中性,低
20,迪丽热巴 水蜜桃成精了,478131,其他,中性,低
21,山东曲阜尼山镇一牌坊倒塌,477351,其他,中性,低
22,杨紫爸爸请粉丝吃冰淇淋,476324,娱乐八卦,中性,低
23,二手炸鸡,475500,其他,中性,低
24,穆祉丞演唱会,473732,娱乐八卦,中性,低
25,浪姐总决赛谢娜去哪了,472842,其他,中性,低
26,世界杯32强已确定28席,472317,体育竞技,中性,低
27,金曲奖,471830,其他,中性,低
28,前男友曝黄一鸣是永久封号,404406,其他,中性,低
29,不叠被子主义,374535,其他,中性,低
30,浪姐直播,366675,娱乐八卦,中性,低
31,陈昊宇 人鱼吟唱,351194,其他,中性,低
32,情绪价值是一段关系的核心,307244,其他,中性,低
33,曝浪姐某位姐姐有了新恋情,299431,娱乐八卦,中性,低
34,宋亚轩刘耀文叫严浩翔翔哥,287136,其他,中性,低
35,佛得角出线,278952,其他,中性,低
36,日方对辽宁舰编队滋扰发生重大变化,276392,其他,中性,低
37,奔跑吧莫离于正孟子义给白鹿送花篮,275363,其他,中性,低
38,吴宣仪语音读本名吴祎琏,273326,其他,中性,低
39,世界冠军与亚洲冠军双双出局,270500,体育竞技,正面,低
40,迪丽热巴金鹰视后价值,268786,其他,中性,低
41,王安宇声明毕业证和学位证作废,243781,其他,中性,低
42,佛得角足协副主席感谢中国,221237,其他,中性,低
43,王鸥我没活干了,208683,其他,中性,低
44,李冰冰近十年很少出现的原因,206888,其他,中性,低
45,比亚迪法务再次通报多账号被处理,205524,其他,中性,低
46,曝苹果芯片成本涨45售价狂加250美元,205418,科技数码,中性,低
47,陈昊宇浪姐总决赛助演克莱因蓝独白,205380,其他,中性,低
48,日本悍然模拟攻击辽宁舰,203335,其他,中性,低
49,邢菲经纪人没认出来邢菲,202253,其他,中性,低
50,白鹿温柔洋娃娃,169858,其他,中性,低
