rank,title,hot,topic,sentiment,risk
1,佛得角逼平两个世界冠军,10897724,其他,中性,中
2,西班牙 杀疯了,1992752,其他,中性,中
3,龙舟经济火爆,1510868,财经商业,中性,中
4,乌拉圭门将超巨失误,751185,其他,中性,低
5,渐冻症女子安装监控拍下男护工猥亵,561981,其他,中性,低
6,乌拉圭2比2佛得角,540413,其他,中性,低
7,张靓颖清唱太多被罚款,438378,其他,中性,低
8,电脑也一天一个价了,326588,科技数码,中性,低
9,许凯吴彦姝承欢记售后,326433,其他,中性,低
10,新西兰破门,325030,其他,中性,低
11,王濛万千惠聊天记录,322760,其他,中性,低
12,排队给西班牙道歉,320480,其他,中性,低
13,李现开球,319387,其他,中性,低
14,向太和向佑和解归功于向佐,317984,其他,中性,低
15,梅西看到马宁怒斥德保罗后笑了,317165,其他,负面,中
16,搞砸了赖伟明的暗恋,315737,其他,中性,低
17,Babycare好奇恳请公布检测结果,313510,其他,中性,低
18,伊朗当面查美国作业,312695,其他,中性,低
19,陈小春边哭边改,309959,其他,中性,低
20,国产呼吸机比进口便宜8成仍卖不动,309639,其他,中性,低
21,人失去魅力的十种行为,307413,其他,中性,低
22,伊朗暂升小组第一,306632,其他,中性,低
23,向太拉黑向佑后首次联系,304481,其他,中性,低
24,乌拉圭vs佛得角,302796,其他,中性,低
25,niko,301881,其他,中性,低
26,田曦薇和碗撞衫,299042,其他,中性,低
27,67岁生女父亲否认拖累其他子女,298198,其他,中性,低
28,肖战十日终焉华语新剧海推馆,296470,其他,中性,低
29,深交所将迎来史上最大规模IPO,295697,其他,中性,低
30,国乒一线主力将全员回归,293558,其他,中性,低
31,学渣学霸写作业状态区别,291696,其他,中性,低
32,王濛但大家都不是你,290291,其他,中性,低
33,纸尿裤事件真相不能被口水淹没,288710,其他,中性,低
34,家里4个地方是霉菌重灾区,288299,其他,中性,低
35,老爷爷卖饺子叉的视频火了,286218,其他,中性,低
36,FIFA内部处分阿根廷战VAR裁判,283861,其他,中性,低
37,佛得角出线有望,283669,其他,中性,低
38,世界杯欠伊朗一个进球,281474,其他,中性,低
39,佛得角门神母亲欢呼进球,280469,其他,中性,低
40,央视曝新型茶叶骗局,278434,其他,中性,低
41,孔塞桑说没义务给C罗喂球,277053,其他,中性,低
42,曝白玉兰场刊组委会写的,274703,其他,中性,低
43,路人对着关晓彤喊鹿晗,273318,其他,中性,低
44,外地人对羊皮筏子的信任程度,272691,其他,中性,低
45,南部档案2,270418,其他,中性,低
46,美伊会谈因特朗普威胁言论暂停,269308,其他,中性,低
47,观众为徐梦洁浪姐舞台发声,267931,其他,中性,低
48,南枝的爸爸原来是我们的老熟人,266275,其他,中性,低
49,孙杨全国游泳冠军赛收获2枚金牌,264634,其他,中性,低
50,庄法发长文感谢曾沛慈团所有成员,263198,其他,中性,低
