rank,title,hot,topic,sentiment,risk
1,德国淘汰,12284930,其他,中性,中
2,巴西绝杀,9686230,其他,中性,中
3,人民锐评网红诋毁袁隆平造谣企业家,1692765,娱乐八卦,中性,中
4,恋与深空道歉声明,1261463,其他,中性,中
5,德国4比5巴拉圭,684059,其他,中性,低
6,马航MH370传来最新消息,682848,其他,中性,低
7,金鹰奖视后提名预测,541056,其他,中性,低
8,iPhone18e曝光,540417,其他,负面,高
9,齐思钧回复张月,538001,其他,中性,低
10,内马尔安慰日本球员,536656,其他,中性,低
11,女子清吧被陌生人投放伟哥,534821,其他,中性,低
12,杨紫被质疑未使用原名纯属误解,533054,其他,负面,高
13,恋与深空,531928,其他,中性,低
14,王楚钦说配合稍微有些陌生感,530361,其他,中性,低
15,黄晓明夸昆凌引杨颖对比,529759,其他,中性,低
16,Melo向柳智敏张元英道歉,448755,其他,中性,低
17,第一次对自信的力量有了实感,444674,其他,中性,低
18,电影抓特务上映11天破亿,442182,娱乐八卦,中性,低
19,存储芯片龙头提示风险,439463,科技数码,中性,低
20,当我知道豆包有后台审核人员,434579,其他,中性,低
21,日本队主帅道歉,427474,其他,中性,低
22,杨紫学位证上就是杨紫,423156,其他,中性,低
23,81岁老人被男子买光菜回家车祸去世,421687,其他,中性,低
24,黄晓明晒和周杰伦的合照,421669,其他,中性,低
25,爱直接对嘴喝饮料的人天塌了,421650,其他,中性,低
26,曝iPhone18Pro机密文件现身暗网,421637,其他,中性,低
27,刘宇宁是去进货了吗,421630,其他,中性,低
28,免费试吃发差评被店家挂店门避雷,421612,其他,中性,低
29,科学备孕男女都要上心,410172,其他,中性,低
30,中国新一轮出口管制直指日本命脉,402559,其他,中性,低
31,韩国球迷凌晨4点接机怒骂主教练,400192,其他,中性,低
32,德国vs巴拉圭,337450,其他,中性,低
33,王濛回复黄灿灿,335152,其他,中性,低
34,詹姆斯 勇士,333150,其他,中性,低
35,莫兰特被交易到开拓者,329473,其他,中性,低
36,曝娱乐圈大部分明星失业,329377,娱乐八卦,中性,低
37,荷兰vs摩洛哥,329365,其他,中性,低
38,巴西2比1日本,300114,其他,中性,低
39,德国队回应爆冷淘汰,290465,其他,中性,低
40,高质量发展看新疆,285856,其他,中性,低
41,千万不要随便扣肚脐,283769,其他,中性,低
42,点球大战,278962,其他,中性,低
43,巴拉圭门将,278008,其他,中性,低
44,陈小春人老了干什么也不心酸,273695,其他,中性,低
45,三星投资计划,271910,其他,中性,低
46,日本淘汰,271535,其他,中性,低
47,李在明向韩国两大财阀90度鞠躬,270572,其他,中性,低
48,全球芯片巨头史诗级扩产,266218,科技数码,中性,低
49,低智商犯罪三江口团建来了,257849,其他,中性,低
50,恋与深空回应争议,254053,其他,负面,中
