rank,title,hot,topic,sentiment,risk
1,恋与深空回应争议,4664154,安全事件,负面,高
2,马航MH370传来最新消息,2321683,其他,中性,中
3,这些7月新规影响你我,1274244,其他,中性,中
4,爱直接对嘴喝饮料的人天塌了,1254472,其他,中性,中
5,一直以为方便面汤是要倒掉的,1162643,其他,中性,中
6,主人解开狗绳2只狗将路人撕咬致死,1007258,其他,中性,中
7,当我知道豆包有后台审核人员,646745,其他,中性,低
8,我们的少年时代2,601781,其他,中性,低
9,腾讯与长鑫存储签200亿大单,599171,其他,中性,低
10,齐思钧回复孙怡,598316,其他,中性,低
11,恋与深空致歉,594170,其他,中性,低
12,TOP Prada,590396,其他,中性,低
13,赵今麦瘦好多,588656,其他,中性,低
14,恋与深空需正视价值观偏差,584504,其他,中性,低
15,董卿母亲癌症去世,582676,其他,中性,低
16,papi酱父亲再婚妻子仅比她大几岁,579518,其他,中性,低
17,法国部长说装空调没用,576058,其他,中性,低
18,刘宇宁胸肌腹肌全给看了,575715,其他,中性,低
19,曝iPhone涨价后不会再降,571124,其他,中性,低
20,18岁高二体育生训练晕倒后离世,567924,其他,负面,中
21,曝娱乐圈大部分明星失业,566849,娱乐八卦,中性,低
22,曾沛慈和老公一起回台湾,563521,其他,中性,低
23,FIFA被呼吁调查阿尔及利亚奥地利比赛,560271,体育竞技,中性,低
24,三甲医生提醒青蛙腹是最糟糕体型,557428,其他,中性,低
25,东方风云榜,553902,其他,中性,低
26,杨紫有3部作品入围金鹰奖,552230,其他,中性,低
27,法国小学众筹装空调后市长下令拆除,549066,其他,中性,低
28,王安宇聪明到导演组炸了,546305,文娱,中性,低
29,中国再对日本出重拳,543350,其他,中性,低
30,一人一句祝党生日快乐,540384,其他,中性,低
31,MG总经理直播被冲,535576,娱乐八卦,中性,低
32,女子螺蛳粉摊吃出蛇,532627,其他,中性,低
33,中国妇女评网游娱乐化女性安全,531362,其他,中性,低
34,中国网友锐评韩国队外网爆火,527921,其他,中性,低
35,全网说丑的玫瑰空调卖了5万台,523934,其他,中性,低
36,片寄凉太胖了好多,523103,其他,中性,低
37,田曦薇 女装牛仔裤,520124,其他,中性,低
38,恋与深空道歉就够了吗,516973,其他,负面,中
39,谢霆锋王菲十指紧扣一起走,513041,其他,中性,低
40,黄灿灿张慧雯落地签还没发的原因,511039,其他,中性,低
41,莆田仙游一峡谷发生事故5人身亡,508895,安全事件,负面,中
42,85花告别古偶,506477,其他,中性,低
43,江语晨 好恨江语晨前夫,503633,其他,中性,低
44,存储三巨头被告了,500694,其他,中性,低
45,东方风云榜直播,495141,娱乐八卦,中性,低
46,虞书欣和粉丝剧宣一个脑回路,494297,娱乐八卦,中性,低
47,孙俪开QQ的蛮好生活,491542,其他,中性,低
48,被裁员后30岁儿子被抓去戒网瘾,487736,其他,中性,低
49,穆祉丞东方风云榜红毯,486058,其他,中性,低
50,天气热脾气都变差了,481938,其他,中性,低
