rank,title,hot,topic,sentiment,risk
1,哈兰德梅开二度,6754171,其他,中性,中
2,姆巴佩左脚世界波,1477650,其他,中性,中
3,端午假期国内出游1.24亿人次,1360552,其他,中性,中
4,郑嘉颖破防了,1316368,其他,中性,中
5,30岁女警为救跳楼轻生者牺牲,581249,其他,中性,低
6,压力又给到C罗了,577603,其他,中性,低
7,李金铭农村综艺那家人已败诉,565786,娱乐八卦,中性,低
8,华为宣布对智驾兜底,546259,科技数码,中性,低
9,iPhone18标准版外观曝光,524411,其他,负面,高
10,会接话是一种高级能力,518452,其他,中性,低
11,姆巴佩梅开二度,508649,其他,中性,低
12,姆巴佩升至世界杯射手榜第二,494922,其他,中性,低
13,印男子坐轮胎爆炸被炸飞5米高死亡,451850,安全事件,中性,低
14,阿根廷2比0奥地利,413831,其他,中性,低
15,李金铭农村综艺那家人居然还在发她,413093,娱乐八卦,中性,低
16,梁靖崑退赛美国大满贯,405298,其他,中性,低
17,何宣林浪姐红利,373643,其他,中性,低
18,孙怡到底买了多少顶老孙帽,300168,其他,中性,低
19,斯塔默辞职原因,299851,其他,中性,低
20,劳塔罗造点,299184,其他,中性,低
21,李登科聊迪丽热巴杨紫没有电影资源,298507,娱乐八卦,中性,低
22,法国vs伊拉克 好大的雨,297715,其他,中性,低
23,夏奇拉好美,297561,其他,中性,低
24,提车半小时被提车1天的同款撞了,296360,其他,中性,低
25,美联储今年不降息黄金恐崩,293948,其他,中性,低
26,49岁女子电梯坠亡涉事方已和解,293874,其他,中性,低
27,周洁琼IOI后台合照,293853,其他,中性,低
28,丞磊吻沈羽洁时耳朵慢慢变红,293832,其他,中性,低
29,想度过一个不用备考的春夏秋冬,293773,其他,中性,低
30,苏醒 预言家,293751,其他,中性,低
31,警方通报13岁女孩称遭男子强奸,293694,其他,中性,低
32,挪威3比2塞内加尔,293622,其他,中性,低
33,恋与深空,293594,其他,中性,低
34,挪威vs塞内加尔,293539,其他,中性,低
35,恋与深空一直在说对不起,293521,其他,中性,低
36,合资燃油车降价也卖不动,271687,其他,中性,低
37,敖尹 丑,265345,其他,中性,低
38,法国3比0伊拉克,216429,其他,中性,低
39,登贝莱世界杯首球,214655,其他,中性,低
40,哈兰德空门不进,212353,其他,中性,低
41,周冬雨说导演老说词不用背,211410,文娱,中性,低
42,SpaceX大跌,209680,其他,中性,低
43,浪姐总决赛嘉宾秀,208334,其他,中性,低
44,韩红为冯小刚新电影站台引争议,205837,娱乐八卦,负面,中
45,马斯克年薪162万起挖角台积电工程师,204803,其他,中性,低
46,薛之谦看球的精神状态,202665,其他,中性,低
47,导演回应周冬雨遭差评,200277,文娱,中性,低
48,法国vs伊拉克,199919,其他,中性,低
49,学霸真的是一种很神奇的生物,183324,其他,中性,低
50,医生我有点不舒服我要出院,182091,其他,中性,低
