rank,title,hot,topic,sentiment,risk
1,马航MH370传来最新消息,1457762,其他,中性,中
2,主人解开狗绳2只狗将路人撕咬致死,1456822,其他,中性,中
3,这些7月新规影响你我,1403038,其他,中性,中
4,恋与深空回应争议,1397045,其他,负面,高
5,爱直接对嘴喝饮料的人天塌了,1396021,其他,中性,中
6,一直以为方便面汤是要倒掉的,1387427,其他,中性,中
7,我们的少年时代2,683080,其他,中性,低
8,当我知道豆包有后台审核人员,650279,其他,中性,低
9,腾讯与长鑫存储签200亿大单,577282,其他,中性,低
10,齐思钧回复孙怡,576655,其他,中性,低
11,TOP Prada,576518,其他,中性,低
12,恋与深空致歉,576175,其他,中性,低
13,赵今麦瘦好多,564779,其他,中性,低
14,董卿母亲癌症去世,551984,其他,中性,低
15,恋与深空需正视价值观偏差,522330,其他,中性,低
16,FIFA被呼吁调查阿尔及利亚奥地利比赛,475758,其他,中性,低
17,中国妇女评网游娱乐化女性安全,418087,其他,中性,低
18,刘宇宁胸肌腹肌全给看了,414517,其他,中性,低
19,法国部长说装空调没用,408449,其他,中性,低
20,曝iPhone涨价后不会再降,398895,其他,中性,低
21,被裁员后30岁儿子被抓去戒网瘾,392837,其他,中性,低
22,曝娱乐圈大部分明星失业,387580,娱乐八卦,中性,低
23,曾沛慈和老公一起回台湾,378457,其他,中性,低
24,三甲医生提醒青蛙腹是最糟糕体型,377824,其他,中性,低
25,杨紫有3部作品入围金鹰奖,377180,其他,中性,低
26,东方风云榜,374640,其他,中性,低
27,法国小学众筹装空调后市长下令拆除,372438,其他,中性,低
28,林一听到陈星旭王玉雯谈恋爱的反应,370535,其他,中性,低
29,中国再对日本出重拳,368971,其他,中性,低
30,一人一句祝党生日快乐,367445,其他,中性,低
31,MG总经理直播被冲,366040,娱乐八卦,中性,低
32,papi酱父亲再婚妻子仅比她大几岁,364102,其他,中性,低
33,中国网友锐评韩国队外网爆火,362659,其他,中性,低
34,日本世界杯淘汰赛历史0胜,360116,其他,中性,低
35,全网说丑的玫瑰空调卖了5万台,359979,其他,中性,低
36,记者暗访养老机构消防安全,359968,其他,中性,低
37,女子螺蛳粉摊吃出蛇,359961,其他,中性,低
38,片寄凉太胖了好多,359905,其他,中性,低
39,恋与深空道歉就够了吗,270995,其他,中性,低
40,黄灿灿张慧雯落地签还没发的原因,260934,其他,中性,低
41,田曦薇 女装牛仔裤,257739,其他,中性,低
42,存储三巨头被告了,253617,其他,中性,低
43,穆祉丞东方风云榜红毯,248455,其他,中性,低
44,佛得角队长门德斯被控强奸,243318,其他,中性,低
45,虞书欣和粉丝剧宣一个脑回路,239938,其他,中性,低
46,谢霆锋王菲十指紧扣一起走,238412,其他,中性,低
47,恋与深空7天掉粉超50万,235943,其他,中性,低
48,天气热脾气都变差了,228245,其他,中性,低
49,莆田仙游一峡谷发生事故5人身亡,225688,安全事件,负面,中
50,孙俪开QQ的蛮好生活,210968,其他,中性,低
